PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=4.74 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.411 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.393 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.388 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.284 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.164 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.394 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.380 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.367 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=7.15 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.194 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=0.478 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.633 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1.16 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=6.16 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.266 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.258 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=3.43 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=0.656 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=4.06 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=0.449 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=2.61 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1.67 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=11.9 ms
